Alain, Jehan (Ariste);(1911-40)	Bach, Johann Christian;(1735-82)	
Boieldieu, François-Adrien;(1775-1834)	Adam, Adolphe (Charles);(1803-56)
Reicha, Anton;(1770-1836)	Adam, Adolphe (Charles);(1803-56)
Glass, Philip;(1937-)	Adams, John;(1947-)
Reich, Steve;(1936-)	Adams, John;(1947-)
Debussy, Claude;(1862-1918)	Alain, Jehan (Ariste);(1911-40)
Dupré, Marcel;(1886-1971)	Alain, Jehan (Ariste);(1911-40)
Owens, John Colin;(1973-)	Alain, Jehan (Ariste);(1911-40)
Satie, Erik;(1866-1925)	Alain, Jehan (Ariste);(1911-40)
Debussy, Claude;(1862-1918)	Albéniz, Isaac;(1860-1909)
Dukas, Paul;(1865-1935)	Albéniz, Isaac;(1860-1909)
Fauré, Gabriel;(1845-1924)	Albéniz, Isaac;(1860-1909)
Indy, Vincent d';(1851-1931)	Albéniz, Isaac;(1860-1909)
Liszt, Franz;(1811-86)	Albéniz, Isaac;(1860-1909)
Corelli, Arcangelo;(1653-1713)	Albinoni, Tomaso;(1671-1751)
Torelli, Giuseppe;(1658-1709)	Albinoni, Tomaso;(1671-1751)
Vivaldi, Antonio;(1678-1741)	Albinoni, Tomaso;(1671-1751)
